Psalms	50	1	En tyrmeni, psalmos Davides,
Psalms	50	2	joda pribet enosmoi Nathan prodisjtor, joda endobet en Bersabeam, benam Urias.
Psalms	50	3	Mileioste me, Dive, seponts mysjlam milotam Tvoiam; ide seponts plyrotam sjodysjtruom Tvoiom, tropriskeie derysjtam moiam.
Psalms	50	4	Plyre djystre skreboste me apo derysjtad moiad, ide apo skyltied moiad tropriskeioste me.
Psalms	50	5	Jasme derysjtam moiam edja sjnoio, ide skeltis moia anti mene esti visjoda.
Psalms	50	6	Proti Tve inokom skyltiostom, ide dusbytom anti Teve masjym, jasme rysjteiostoita en verdoisu Tvoioisu, ide viksies joda krinostoita.
Psalms	50	7	Bo vid, en derysjtasu sjoprymeiosta, ide en skyltisu djenostet me mater moia.
Psalms	50	8	Bo vid, verotam lubiostes; nesjnota i sjelosta vidrotas Tvoias prodisjs medjo.
Psalms	50	9	Isi embreionts me sjom hyssope, ide imi tropriskeiomnos; isi skrebonts me, i josmad snibs imi po albos dykmynos.
Psalms	50	10	Isi me sjlununi dykonts gauram i prinotam; jenti gaureiontes osta uponideiekta.
Psalms	50	11	Apovertoste pretiom Tvoiom apo skyltimos moiomos, ide visjans derysjtans moians tropriskeioste.
Psalms	50	12	Sjerd priskom masj en moi, Dive, ide prumyn rysjtom etineveioste en ontroisu moioisu.
Psalms	50	13	Ne apoiksies me apo pretiod Tvoiod, ide Prumyn Tvoiom Sjuntom ne apokypiostois apo med.
Psalms	50	14	Etido medjo prinotam spysjties Tvoias, ide Prumene Redjonte anasteloste me.
Psalms	50	15	Imi endisjnunts derysjtomos pontom Tvoiom, ide desjspitiei Tebio jenti sjovertontes.
Psalms	50	16	Ludreioste me apo krevesed, Dive, Dive spysjties moias; iti gaureionts dyndjua moia rysjtotam Tvoiam.
Psalms	50	17	Poti, osna moia apokrudoste, ide os moiom iti pro'uponts farnam Tvoiam.
Psalms	50	18	Jasme je veliostois jasnam, toda diem; sjom visjyngribi ne isi dybrovelionts.
Psalms	50	19	Jasna Divoi, prumyn rupstom; sjerd rupstom i uponideiostom Divos ne isi nidspesjonts.
Psalms	50	20	Masj dybrom, Poti, en dybrovelii Tvoii Sionei, ide sjostruiento devares Jerusalemes.
Psalms	50	21	Toda isi dybrovelionts sjom jasnabi rysjtotas, sjom udbyrtibi i visjyngribi; toda jenti prostelontes ana jasnastanam Tvoiam tauroisjons.
